"table_name","column_name","data_type","is_nullable","column_default"
"segment10_reserve","id","integer","NO","nextval('segment10_reserve2_id_seq'::regclass)"
"segment10_reserve","code","character varying","YES",NULL
"segment10_reserve","name","character varying","YES",NULL
"segment10_reserve","active","boolean","YES",NULL
"segment10_reserve","gl","boolean","YES",NULL
"segment10_reserve","ar","boolean","YES",NULL
"segment10_reserve","ap","boolean","YES",NULL
"segment10_reserve","fa","boolean","YES",NULL
"segment10_reserve","cost","boolean","YES",NULL
"segment10_reserve","cash","boolean","YES",NULL
"segment1_company","id","integer","NO","nextval('segment1_company_id_seq'::regclass)"
"segment1_company","code","character varying","NO",NULL
"segment1_company","name","character varying","NO",NULL
"segment1_company","active","boolean","YES","true"
"segment1_company","gl","boolean","YES","false"
"segment1_company","ar","boolean","YES","false"
"segment1_company","ap","boolean","YES","false"
"segment1_company","fa","boolean","YES","false"
"segment1_company","cost","boolean","YES","false"
"segment1_company","cash","boolean","YES","false"
"segment1_company","created_at","timestamp without time zone","YES","now()"
"segment1_company","updated_at","timestamp without time zone","YES","now()"
"segment2_cost_center","id","integer","NO","nextval('segment2_cost_center_id_seq'::regclass)"
"segment2_cost_center","code","character varying","NO",NULL
"segment2_cost_center","name","character varying","NO",NULL
"segment2_cost_center","active","boolean","YES","true"
"segment2_cost_center","gl","boolean","YES","true"
"segment2_cost_center","ar","boolean","YES","true"
"segment2_cost_center","ap","boolean","YES","true"
"segment2_cost_center","fa","boolean","YES","true"
"segment2_cost_center","cost","boolean","YES","true"
"segment2_cost_center","cash","boolean","YES","true"
"segment2_cost_center","created_at","timestamp without time zone","YES","now()"
"segment2_cost_center","updated_at","timestamp without time zone","YES","now()"
"segment3_main_account","id","integer","NO","nextval('segment3_main_account_id_seq'::regclass)"
"segment3_main_account","code","character varying","YES",NULL
"segment3_main_account","name","character varying","YES",NULL
"segment3_main_account","active","boolean","YES",NULL
"segment3_main_account","gl","boolean","YES",NULL
"segment3_main_account","ar","boolean","YES",NULL
"segment3_main_account","ap","boolean","YES",NULL
"segment3_main_account","fa","boolean","YES",NULL
"segment3_main_account","cost","boolean","YES",NULL
"segment3_main_account","cash","boolean","YES",NULL
"segment3_main_account","created_at","timestamp without time zone","YES","now()"
